date,Exchange Inflow (Total)
2020-08-21,536946034.844948
2020-08-22,265360767.279785
2020-08-23,230929516.456938
2020-08-24,398208978.353485
2020-08-25,481220045.724553
2020-08-26,457208086.017272
2020-08-27,405041310.006055
2020-08-28,452989340.575502
2020-08-29,302462147.514545
2020-08-30,233403303.518527
2020-08-31,524811246.866105
2020-09-01,553139505.033839
2020-09-02,624615456.924041
2020-09-03,657314668.019121
2020-09-04,886189332.091644
2020-09-05,411227904.80995
2020-09-06,323572763.319682
2020-09-07,389671398.125328
2020-09-08,523675388.456327
2020-09-09,429774628.03553
2020-09-10,515837953.108485
2020-09-11,428049265.670643
2020-09-12,307311290.935294
2020-09-13,272898022.725607
2020-09-14,573315975.008082
2020-09-15,1413765851.970335
2020-09-16,485462211.117338
2020-09-17,523921300.590105
2020-09-18,559126946.264105
2020-09-19,342910593.535562
2020-09-20,258507961.646868
2020-09-21,657065085.605779
2020-09-22,500278464.492583
2020-09-23,439626085.087222
2020-09-24,431061290.021152
2020-09-25,354930105.295639
2020-09-26,237599217.312901
2020-09-27,235425806.494503
2020-09-28,487524273.849392
2020-09-29,429326089.394163
2020-09-30,434047339.923359
2020-10-01,483288303.823659
2020-10-02,299793524.231541
2020-10-03,334382024.906044
2020-10-04,164559591.824837
2020-10-05,463450878.065551
2020-10-06,394518610.005511
2020-10-07,336919313.91013
2020-10-08,405654449.557371
2020-10-09,455041678.06198
2020-10-10,321377549.204289
2020-10-11,211706457.166907
2020-10-12,423880890.113626
2020-10-13,459236511.573579
2020-10-14,477698709.798103
2020-10-15,511039003.525416
2020-10-16,409734512.260466
2020-10-17,211259247.546538
2020-10-18,195712119.944368
